unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,lat1,lon1,address1,lat2,lon2,address2,query_location,city,state
10,This Is Us,2022,Alamo Square Park,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,22.0,9.0,11.0,,,,,,,Alamo Square Park,San Francisco,California
11,The Rock,1996,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,18.0,23.0,3.0,,,,,,,Coit Tower,San Francisco,California
12,Blue Jasmine,2013,Pacific & Divisadero,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,102.0,30.0,6.0,,,,,,,Pacific & Divisadero,San Francisco,California
13,The Caine Mutiny,1954,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,,,,,,,,,,Golden Gate Bridge,San Francisco,California
14,The Diary of a Teenage Girl,2015,700 Kansas St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,54.0,26.0,9.0,,,,,,,700 Kansas St,San Francisco,California
15,Venom,2018,Grant Ave btwn Clay and Jackson,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,104.0,6.0,3.0,,,,,,,Grant Ave and Clay,San Francisco,California
16,"Murder in the First, Season 1",2014,13 Lucky Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,53.0,20.0,2.0,,,,,,,13 Lucky Street,San Francisco,California
17,GirlBoss,2017,"The Castro Theater, 429 Castro St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,38.0,5.0,5.0,,,,,,,429 Castro St,San Francisco,California
18,Sense8 - Season 2,2016,Clay between Stockton and Grant,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,104.0,6.0,3.0,,,,,,,Clay and Stockton,San Francisco,California
19,The Pursuit of Happyness,2006,Glen Park Subway Station,,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,59.0,10.0,5.0,,,,,,,Glen Park Subway Station,San Francisco,California
