unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,query_location,city,state,coordinates_final2,lat_final2,lon_final2,tconst,genres,run_time,avg_rating,numVotes,director1_nconst,director1_name,director2_nconst,director2_name,writer1_nconst,writer1_name,writer2_nconst,writer2_name,writer3_nconst,writer3_name
387,Psych-Out,1968,,,Dick Clark Productions,American International Pictures (AIP),Richard Rush,Betty Tusher,Jack Nicholson,Susan Strasberg,Dean Stockwell,21.0,36.0,10.0,,San Francisco,California,,,,tt0063469,Drama,101,5.9,3051.0,nm0750701,Richard Rush,,,nm0929815,E. Hunter Willett,nm0880449,Betty Ulius,nm0878237,Betty Tusher
460,Jack,1996,,,American Zoetrope,Buena Vista Pictures,Francis Ford Coppola,James DeMonaco,Robin Williams,Diane Lane,,21.0,36.0,10.0,,San Francisco,California,,,,tt0116669,"Comedy,Drama,Fantasy",113,5.8,64531.0,nm0000338,Francis Ford Coppola,,,nm0218621,James DeMonaco,nm0618800,Gary Nadeau,,
532,Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0077533,"Documentary,Horror",105,4.2,8199.0,nm0777291,John Alan Schwartz,,,nm0777291,John Alan Schwartz,,,,
558,On the Beach,1959,,,Stanley Kramer Productions,United Artists,Stanley Kramer,John Paxton,Gregory Peck,Ava Gardner,Fred Astaire,21.0,36.0,10.0,,San Francisco,California,,,,tt0053137,"Drama,Romance,Sci-Fi",134,7.1,14613.0,nm0006452,Stanley Kramer,,,nm0668122,John Paxton,nm0796009,Nevil Shute,,
609,Fandom,2004,,,The Digital Golem,Cinequest Distribution,Nicholas Tucker,Nicholas Tucker & Mark Hefti,Mark Hefti,Peter Quintana,,21.0,36.0,10.0,,San Francisco,California,,,,tt0417667,"Comedy,Drama",94,7.3,60.0,nm1663829,Nicholas Tucker,,,nm1473176,Mark Hefti,nm1663829,Nicholas Tucker,,
625,Barbary Coast,1935,,,The Samuel Goldwyn Company,United Artists,Howard Hawks,Ben Hecht,Mariam Hopkins,Edward G. Robinson,Joel McCrea,21.0,36.0,10.0,,San Francisco,California,,,,tt0026097,"Adventure,Drama,Romance",91,6.8,2085.0,nm0001328,Howard Hawks,,,nm0372942,Ben Hecht,nm0531269,Charles MacArthur,nm0158737,Edward Chodorov
633,"Hello Frisco, Hello",1943,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Bruce Humberstone,Robert Ellis,Alice Faye,John Payne,Jack Oakie,21.0,36.0,10.0,,San Francisco,California,,,,tt0035982,Musical,99,6.5,562.0,nm0401680,H. Bruce Humberstone,,,nm0000252,Robert Ellis,nm0517567,Helen Logan,nm0531335,Richard Macaulay
701,The Zodiac,2005,,,Blackwater Films,THINKFilm,Alexander Bulkley,Alexander Bulkley & Kelley Bulkeley,Justin Chambers,Robin Tunney,,21.0,36.0,10.0,,San Francisco,California,,,,tt0371739,"Crime,Drama,Horror",92,5.3,7516.0,nm0119946,Alexander Bulkley,,,nm0119946,Alexander Bulkley,nm1401710,Kelly Bulkley,,
836,Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone,21.0,36.0,10.0,,San Francisco,California,,,,tt0118966,"Action,Crime,Drama",100,6.1,18088.0,nm0775447,Barbet Schroeder,,,nm0458318,David Klass,,,,
847,Bee Season,2005,,,Bee Season Productions,Fox Searchlight Pictures,Scott McGehee,David Siegel,Richard Gere,Juliette Binoche,,21.0,36.0,10.0,,San Francisco,California,,,,tt0387059,"Drama,Family",104,5.5,7268.0,nm0569166,Scott McGehee,nm0796915,David Siegel,nm1503335,Myla Goldberg,nm0284524,Naomi Foner,,
937,House of Sand and Fog,2003,,,DreamWorks SKG,DreamWorks Distribution,Vadim Perelman,Vadim Perelman,Jennifer Connelly,Ben Kingsley,,21.0,36.0,10.0,,San Francisco,California,,,,tt0315983,"Crime,Drama",126,7.5,73263.0,nm1166926,Vadim Perelman,,,nm1164318,Andre Dubus III,nm1166926,Vadim Perelman,nm1171067,Shawn Lawrence Otto
958,The Nightmare Before Christmas,1993,,,Touchstone Pictures,Buena Vista Pictures,Henry Selick,Tim Burton,Danny Elfman,Catherine O'Hara,,21.0,36.0,10.0,,San Francisco,California,,,,tt0107688,"Animation,Family,Fantasy",76,7.9,379781.0,nm0783139,Henry Selick,,,nm0000318,Tim Burton,nm0568313,Michael McDowell,nm0003031,Caroline Thompson
973,Nina Takes a Lover,1994,,,Alan Jacobs Productions,Columbia TriStar Home Video,Alan Jacobs,Alan Jacobs,Laura San Giacomo,Paul Rhys,,21.0,36.0,10.0,,San Francisco,California,,,,tt0110671,"Comedy,Drama,Romance",98,5.4,741.0,nm0414312,Alan Jacobs,,,nm0414312,Alan Jacobs,,,,
1019,To the Ends of the Earth,1948,,,Kennedy-Buckman Pictures,Columbia Pictures,Robert Stevenson,Jay Richard Kennedy,Dick Powell,Signe Hasso,Maylia,21.0,36.0,10.0,,San Francisco,California,,,,tt0040887,"Crime,Film-Noir,Thriller",109,6.8,971.0,nm0829038,Robert Stevenson,,,nm0448091,Jay Richard Kennedy,nm0118227,Sidney Buchman,,
1038,Tweek City,2005,,,Tweek City LLC,Maverick Entertainment Group,Eric G. Johnson,Eric G. Johnson,Giuseppe Andrews,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0351885,Drama,86,4.0,191.0,nm1316607,Eric G. Johnson,,,nm1316607,Eric G. Johnson,,,,
1043,American Yearbook,2004,,,All Planet Studios,,Brian Ging,Brian Ging,Nick Tagas,Jon Carlo Alvarez,,21.0,36.0,10.0,,San Francisco,California,,,,tt0386284,"Drama,Thriller",97,5.8,122.0,nm1483833,Brian Ging,,,nm1483833,Brian Ging,,,,
1164,Twisted,2004,,,Paramount Pictures,Paramount Pictures,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,21.0,36.0,10.0,,San Francisco,California,,,,tt0315297,"Crime,Drama,Mystery",97,5.3,23271.0,nm0442241,Philip Kaufman,,,nm0861638,Sarah Thorp,,,,
1230,Julie and Jack,2003,,,Moviehead Pictures,Echelon Entertainment,James Nguyen,James Nguyen & Joe Bright,Jenn Gotzon,Tippi Hedren,,21.0,36.0,10.0,,San Francisco,California,,,,tt0358551,"Drama,Romance,Sci-Fi",90,1.7,752.0,nm1343100,James Nguyen,,,nm1343100,James Nguyen,nm1669777,Joe Bright,,
1240,Street Music,1981,,,Pacificon Films,Specialty Films,Jenny Bowen,Jenny Bowen,Elizabeth Daily,Larry Breeding,Ned Glass,21.0,36.0,10.0,,San Francisco,California,,,,tt0083129,Drama,93,7.1,61.0,nm0727042,Jenny Bowen,,,nm0727042,Jenny Bowen,,,,
1246,The Fog of War,2003,,,Sony Pictures Classics,Sony Pictures Classics,Errol Morris,,Robert McNamara,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0317910,"Biography,Documentary,History",107,8.1,25241.0,nm0001554,Errol Morris,,,\N,,,,,
1277,Panther,1995,,,Gramercy Pictures,PolyGram Video,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,,21.0,36.0,10.0,,San Francisco,California,,,,tt1363478,Action,83,7.0,8.0,nm1292986,S.A. Karim,,,nm1292997,Golden Kasmara,,,,
1339,Big Trouble in Little China,1986,,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,John Carpenter,Gary Goldman,Kurt Russell,Kim Catrall,James Hong,21.0,36.0,10.0,,San Francisco,California,,,,tt0090728,"Action,Adventure,Comedy",99,7.2,156447.0,nm0000118,John Carpenter,,,nm0325778,Gary Goldman,nm0918434,David Z. Weinstein,nm0725379,W.D. Richter
1367,"Yours, Mine and Ours",1968,,,Desilu Productions,United Artists,Melville Shavelson,"Bob Carroll, Jr.",Lucille Ball,Henry Fonda,Van Johnson,21.0,36.0,10.0,,San Francisco,California,,,,tt0063829,"Comedy,Family",111,7.1,10013.0,nm0789520,Melville Shavelson,,,nm0789520,Melville Shavelson,nm0480048,Mort Lachman,nm0205070,Madelyn Davis
1408,Thief of Hearts,1984,,,Paramount Pictures,Paramount Pictures,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,David Caruso,Barbara Williams,21.0,36.0,10.0,,San Francisco,California,,,,tt0088256,"Crime,Drama,Thriller",100,5.7,1943.0,nm0829343,Douglas Day Stewart,,,nm0829343,Douglas Day Stewart,,,,
1413,Tin Cup,1996,,,Regency Enterprises,Warner Bros. Pictures,Ron Shelton,John Norville,Kevin Costner,Rene Russo,,21.0,36.0,10.0,,San Francisco,California,,,,tt0117918,"Comedy,Drama,Romance",135,6.4,53917.0,nm0005421,Ron Shelton,,,nm0636358,John Norville,nm0005421,Ron Shelton,,
1416,Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros. Pictures,Blake Edwards,JP Miller,Jack Lemmon,Lee Remick,Charles Bickford,21.0,36.0,10.0,,San Francisco,California,,,,tt0055895,Drama,117,7.8,14235.0,nm0001175,Blake Edwards,,,nm0582837,J.P. Miller,,,,
1417,Mona Lisa Smile,2003,,,Revolution Studios,Columbia Pictures,Mike Newell,Lawrence Konner,Julia Roberts,Kirsten Dunst,,21.0,36.0,10.0,,San Francisco,California,,,,tt0304415,Drama,117,6.6,92555.0,nm0001565,Mike Newell,,,nm0465199,Lawrence Konner,nm0742797,Mark Rosenthal,,
1439,24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,,Craig Newmark,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0377029,"Biography,Comedy,Documentary",82,5.3,221.0,nm0003469,Michael Ferris Gibson,,,\N,,,,,
1656,The Doors,1991,,,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,,21.0,36.0,10.0,,San Francisco,California,,,,tt0101761,"Biography,Drama,Music",140,7.2,100212.0,nm0000231,Oliver Stone,,,nm0415745,Randall Jahnson,nm0000231,Oliver Stone,,
1739,Happy Gilmore,1996,,,Brillstein-Grey Entertainment,Universal Pictures,Dennis Dugan,Tim Herlihy,Adam Sandler,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0116483,"Comedy,Sport",92,7.0,253542.0,nm0240797,Dennis Dugan,,,nm0379056,Tim Herlihy,nm0001191,Adam Sandler,,
1742,They Call Me MISTER Tibbs,1970,,,Mirisch Corporation,United Artists,Gordon Douglas,Alan R. Trustman,Sidney Poitier,Martin Landau,Barbara McNair,21.0,36.0,10.0,,San Francisco,California,,,,tt0066450,,,,,nm0235066,Gordon Douglas,,,nm0874450,Alan Trustman,nm0916139,James R. Webb,nm0050398,John Ball
1784,Dying Young,1991,,,Twentieth Century Fox Corporation,Twentieth Century Fox Corporation,Joel Schumacher,Richard Friedenberg,Julia Roberts,Campbell Scott,,21.0,36.0,10.0,,San Francisco,California,,,,tt0101787,"Drama,Romance",111,6.0,17378.0,nm0001708,Joel Schumacher,,,nm0500429,Marti Leimbach,nm0295030,Richard Friedenberg,,
1787,Haiku Tunnel,2001,,,Hello Hooker Productions,Sony Pictures Classics,Jakob Kornbluth & Josh Kornbluth,Jakob Kornbluth & Josh Kornbluth,Josh Kornbluth,Warren Keith,,21.0,36.0,10.0,,San Francisco,California,,,,tt0273253,Comedy,88,6.1,1347.0,nm0466428,Jacob Kornbluth,nm0466430,Josh Kornbluth,nm0466430,Josh Kornbluth,nm0466428,Jacob Kornbluth,nm0069257,John Bellucci
1795,48 Hours,1982,,,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole,21.0,36.0,10.0,,San Francisco,California,,,,tt0271894,,,,,nm0460172,Rob Klug,nm3323030,Matthew DeVoe,nm2773084,Nancy Kramer,nm3448021,Barry Leibowitz,nm0640106,Kathleen O'Connell
1811,Rollerball,2002,,,Atlas Entertainment,MGM Home Entertainment,John McTiernan,William Harrison,Chris Klein,Jean Reno,,21.0,36.0,10.0,,San Francisco,California,,,,tt0246894,"Action,Sci-Fi,Sport",98,3.1,29916.0,nm0001532,John McTiernan,,,nm0365938,William Harrison,nm0272511,Larry Ferguson,nm0688282,John Pogue
1826,The Last of the Gladiators,1988,,,Twin Tower Enterprises,Evel Videos,Martin Jay Sadoff,Martin Jay Sadoff,Evel Knievel,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0237397,Documentary,103,8.0,39.0,nm0755590,Martin Jay Sadoff,,,nm0488634,George Larrimore,nm0003826,Eric Parkinson,nm0755590,Martin Jay Sadoff
1913,Pretty Woman,1990,,,Touchstone Pictures,Buena Vista Pictures,Garry Marshall,J.F. Lawton,Richard Gere,Julia Roberts,,21.0,36.0,10.0,,San Francisco,California,,,,tt0100405,"Comedy,Romance",119,7.1,371071.0,nm0005190,Garry Marshall,,,nm0493369,J.F. Lawton,,,,
1915,Serendipity,2001,,,Miramax Films,Miramax Home Entertainment,Peter Chelsom,Marc Klein,John Cusack,Kate Beckinsale,,21.0,36.0,10.0,,San Francisco,California,,,,tt0240890,"Comedy,Romance",90,6.8,122565.0,nm0155093,Peter Chelsom,,,nm0458884,Marc Klein,,,,
1926,James and the Giant Peach,1996,,,Skellington Productions,Walt Disney Studios Home Entertainment,Henry Selick,Karey Kirkpatrick,Richard Dreyfuss,Jane Leeves,,21.0,36.0,10.0,,San Francisco,California,,,,tt0116683,"Adventure,Animation,Family",79,6.7,74785.0,nm0783139,Henry Selick,,,nm0001094,Roald Dahl,nm0456732,Karey Kirkpatrick,nm0731271,Jonathan Roberts
1950,Night of Henna,2005,,,Zee Films,Illuminare Entertainment,Hassan Zee,Hassan Zee,Joyce Carlin,Nancy Carlin,,21.0,36.0,10.0,,San Francisco,California,,,,tt0379402,"Comedy,Romance",92,5.8,40.0,nm1443180,Hassan Zee,,,nm1443180,Hassan Zee,,,,
2031,Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,,21.0,36.0,10.0,,San Francisco,California,,,,tt0099044,,,,,nm0001353,Walter Hill,,,nm0004591,John Fasano,nm0006854,Roger Spottiswoode,nm0835732,Jeb Stuart
1,Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,99.0,23.0,3.0,Fisherman's Wharf,San Francisco,California,"37.808222, -122.415807",37.808222,-122.415807,tt0055972,"Crime,Mystery,Thriller",123,7.3,6771.0,nm0001175,Blake Edwards,,,nm0330227,Gordon Gordon,nm0330468,Mildred Gordon,,
2,Experiment in Terror,1962,100 St. Germain Avenue,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,47.0,38.0,8.0,100 St. Germain Avenue,San Francisco,California,"37.757651, -122.450525",37.757651,-122.450525,tt0055972,"Crime,Mystery,Thriller",123,7.3,6771.0,nm0001175,Blake Edwards,,,nm0330227,Gordon Gordon,nm0330468,Mildred Gordon,,
3,Chan is Missing,1982,"Li Po (916 Grant Avenue at Washington, Chinatown)",,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew,104.0,6.0,3.0,916 Grant Avenue,San Francisco,California,"37.795373, -122.40634",37.795373,-122.40634,tt0083728,,,,,nm0911061,Wayne Wang,,,nm0188760,Isaac Cronin,nm0911061,Wayne Wang,,
4,A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),,Metro-Goldwyn Mayer,MGM/UA Entertainment Company,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,99.0,23.0,3.0,Fisherman's Wharf,San Francisco,California,"37.808222, -122.415807",37.808222,-122.415807,tt0090264,"Action,Adventure,Thriller",131,6.3,105946.0,nm0322515,John Glen,,,nm0537363,Richard Maibaum,nm0933865,Michael G. Wilson,nm0001220,Ian Fleming
7,I's,2011,1 Post Street,,Banshee Cinema,,Chris Edgette,Kyle Tuck,,,,19.0,8.0,3.0,1 Post Street,San Francisco,California,"37.788789, -122.402692",37.788789,-122.402692,tt9218134,,,,,nm0870324,Keisuke Toyoshima,nm1977463,Mari Asato,nm0441559,Masakazu Katsura,nm3099874,Kôta Fukihara,,
8,When We Rise,2017,Bay Bridge,,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,,,,Bay Bridge,San Francisco,California,"37.822888, -122.313495",37.822888,-122.313495,tt5292622,,,,,nm0085257,Dustin Lance Black,nm2011696,Dee Rees,nm0085257,Dustin Lance Black,nm1197300,Cleve Jones,nm0800455,Derek Simonds
9,Nash Bridges,2021,California Street at Davis,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,108.0,8.0,3.0,California Street & Davis,San Francisco,California,"37.793513, -122.397627",37.793513,-122.397627,tt0115285,,,,,nm0153191,Jim Charleston,nm0066439,Greg Beeman,nm0193681,Carlton Cuse,nm0825988,Reed Steiner,nm0936210,John Wirth
10,This Is Us,2022,Alamo Square Park,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,22.0,9.0,11.0,Alamo Square Park,San Francisco,California,"37.776252, -122.434603",37.776252,-122.434603,tt5555260,,,,,nm0646440,Ken Olin,nm0462277,Chris Koch,nm1557594,Dan Fogelman,nm7988902,Laura Kenar,nm4435408,Eboni Freeman
11,The Rock,1996,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,18.0,23.0,3.0,Coit Tower,San Francisco,California,"37.802449, -122.405836",37.802449,-122.405836,tt0117500,"Action,Adventure,Thriller",136,7.4,362315.0,nm0000881,Michael Bay,,,nm0918711,David Weisberg,nm0177018,Douglas Cook,nm0743119,Mark Rosner
12,Blue Jasmine,2013,Pacific & Divisadero,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,102.0,30.0,6.0,Pacific & Divisadero,San Francisco,California,"37.79251199367863, -122.44138406093005",37.79251199367863,-122.4413841,tt2334873,"Comedy,Drama,Romance",98,7.3,213880.0,nm0000095,Woody Allen,,,nm0000095,Woody Allen,,,,
13,The Caine Mutiny,1954,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Stanley Kramer Productions,Columbia Pictures,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,,,,Golden Gate Bridge,San Francisco,California,"37.818109, -122.480934",37.818109,-122.480934,tt0046816,"Drama,War",124,7.7,30512.0,nm0229424,Edward Dmytryk,,,nm0731592,Stanley Roberts,nm0087581,Michael Blankfort,nm0941883,Herman Wouk
14,The Diary of a Teenage Girl,2015,700 Kansas St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,54.0,26.0,9.0,700 Kansas St,San Francisco,California,"37.76075, -122.403464",37.76075,-122.403464,tt3172532,"Comedy,Drama,Romance",102,6.8,33929.0,nm1716636,Marielle Heller,,,nm6390963,Phoebe Gloeckner,nm1716636,Marielle Heller,,
15,Venom,2018,Grant Ave btwn Clay and Jackson,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,104.0,6.0,3.0,Grant Ave and Clay,San Francisco,California,"37.794267, -122.406317",37.794267,-122.406317,tt1270797,"Action,Adventure,Sci-Fi",112,6.6,548434.0,nm0281508,Ruben Fleischer,,,nm0684374,Jeff Pinkner,nm0003298,Scott Rosenberg,nm0545150,Kelly Marcel
16,"Murder in the First, Season 1",2014,13 Lucky Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,53.0,20.0,2.0,13 Lucky Street,San Francisco,California,"37.752229, -122.413389",37.752229,-122.413389,tt2402061,,,,,nm1061992,Jesse Bochco,nm0025978,Allison Anders,nm0004766,Steven Bochco,nm2039954,Eric Lodal,nm0189105,Alison Cross
17,GirlBoss,2017,"The Castro Theater, 429 Castro St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,38.0,5.0,5.0,429 Castro St,San Francisco,California,"37.76196622657302, -122.43491889347214",37.76196622657302,-122.43491889347214,tt5706996,,,,,nm0228542,Christian Ditter,nm0044803,Jamie Babbit,nm4619459,Sophia Amoruso,nm3873358,Jen Braeden,nm0134224,Kay Cannon
18,Sense8 - Season 2,2016,Clay between Stockton and Grant,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,104.0,6.0,3.0,Clay and Stockton,San Francisco,California,"37.79398689069429, -122.40790414558585",37.79398689069429,-122.4079041,tt2431438,,,,,nm0905154,Lana Wachowski,nm0905152,Lilly Wachowski,nm0833089,J. Michael Straczynski,nm0905154,Lana Wachowski,nm0905152,Lilly Wachowski
19,The Pursuit of Happyness,2006,Glen Park Subway Station,,Columbia Pictures Corporation,Columbia Pictures,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,,59.0,10.0,5.0,Glen Park Subway Station,San Francisco,California,"37.73303635732849, -122.43360583072086",37.73303635732849,-122.4336058,tt0454921,"Biography,Drama",117,8.0,570816.0,nm0610831,Gabriele Muccino,,,nm0175726,Steve Conrad,,,,
20,Women is Losers,2020,Capp St at 25th St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,53.0,20.0,2.0,Capp St & 25th St,San Francisco,California,"37.750712, -122.417221",37.750712,-122.417221,tt9024096,,,,,nm2548666,Lissette Feliciano,,,nm2548666,Lissette Feliciano,,,,
